Question,Marking Scheme,Student Response,Answer Rating
Explain why fixed costs are high in the aircraft-making industry,Fixed costs are costs that do not change with output. There is a considerable value of capital equipment used in making aircraft/it is a capital intensive industry loans may have to be taken out to pay for capital equipment interest on loans have to be paid even if no output is made the equipment may have to be rented rent has to be paid even if no output is made. Aircraft making factories have to be very large high rental costs high business rates.,Because they need a lot of capital equipment for them to run.,2
Analyse what determines a firm’s demand for capital goods.,"The expected demand for the product produced (1) the higher the output, the more capital goods needed. Advances in technology new capital equipment is likely to be more productive. The price of the capital equipment the cheaper the price, the more capital equipment that is likely to be bought. The rate of interest firms often borrow to buy capital equipment. The level of profits higher profits increase firms’ willingness and ability to buy capital goods. Corporation taxes lower taxes will increase firms’ willingness and ability to buy capital goods. Government subsidies these provide funds for firms to buy capital goods.","Different factors usually affect a firms demand for capital goods, when there is an expected increase in demand for the product, capital goods is demanded to help meet the need for the output to be made or sold. Another important factor that can affect demand is the improvement in technology which requires the use of more machine compared to labour.",3
Analyse what determines a firm’s demand for capital goods.,"The expected demand for the product produced (1) the higher the output, the more capital goods needed. Advances in technology new capital equipment is likely to be more productive. The price of the capital equipment the cheaper the price, the more capital equipment that is likely to be bought. The rate of interest firms often borrow to buy capital equipment. The level of profits higher profits increase firms’ willingness and ability to buy capital goods. Corporation taxes lower taxes will increase firms’ willingness and ability to buy capital goods. Government subsidies these provide funds for firms to buy capital goods.",Due to urgent need by the company and due to love for capital good in the company or firm.,1
Analyse what determines a firm’s demand for capital goods.,"The expected demand for the product produced (1) the higher the output, the more capital goods needed. Advances in technology new capital equipment is likely to be more productive. The price of the capital equipment the cheaper the price, the more capital equipment that is likely to be bought. The rate of interest firms often borrow to buy capital equipment. The level of profits higher profits increase firms’ willingness and ability to buy capital goods. Corporation taxes lower taxes will increase firms’ willingness and ability to buy capital goods. Government subsidies these provide funds for firms to buy capital goods.",When there is demand for the product and when technology is needed,2
Analyse how a fall in unemployment can increase tax revenue,A fall in unemployment will increase income more people working and people earning higher wages this will increase income tax revenue. Spending will increase more products will be purchased which will increase indirect taxes. Higher spending will increase firms’ revenue this may increase firms’ profits which will increase corporation/direct tax revenue.,Government can now make lot of money because everyone is now very rich and have money.,1
Analyse how a fall in unemployment can increase tax revenue,A fall in unemployment will increase income more people working and people earning higher wages this will increase income tax revenue. Spending will increase more products will be purchased which will increase indirect taxes. Higher spending will increase firms’ revenue this may increase firms’ profits which will increase corporation/direct tax revenue.,It increases the income tax and will also improve indirect tax that will be charged.,2
Analyse how a fall in unemployment can increase tax revenue,A fall in unemployment will increase income more people working and people earning higher wages this will increase income tax revenue. Spending will increase more products will be purchased which will increase indirect taxes. Higher spending will increase firms’ revenue this may increase firms’ profits which will increase corporation/direct tax revenue.,"When there are less unemployed people, it means they are involved in a job that provides means of income to them, government can therefore charge and increase income taxes which improves tax revenue for the government. In addition, people can now increase their purchasing power which helps to increase indirect tax potential.",3
Explain two reasons why the supply of a product may be price inelastic.,long production period this will make it difficult to adjust supply quickly. Inability to store the product this means goods cannot be taken out of storage to meet higher demand. Time period under consideration supply is more inelastic in the short run. If there is a shortage of the raw material it will be difficult to supply more in response to a rise in demand/price.,"Supply of a product may be price inelastic due to the long time frame it can take for a product to be made, longer period will make it difficult for supply to adjust quickly. Also, the storage condition of a product can also affect and hinder the level of elasticity.",3
Explain two reasons why the supply of a product may be price inelastic.,long production period this will make it difficult to adjust supply quickly. Inability to store the product this means goods cannot be taken out of storage to meet higher demand. Time period under consideration supply is more inelastic in the short run. If there is a shortage of the raw material it will be difficult to supply more in response to a rise in demand/price.,When the time and when the goods cannot be stored well.,2
Explain two reasons why the supply of a product may be price inelastic.,long production period this will make it difficult to adjust supply quickly. Inability to store the product this means goods cannot be taken out of storage to meet higher demand. Time period under consideration supply is more inelastic in the short run. If there is a shortage of the raw material it will be difficult to supply more in response to a rise in demand/price.,Because the good is kind of special and it is needed by people.,1
Analyse why engaging in division of labour may increase a firm’s costs of production.,division of labour involves workers specialising in particular tasks. workers may become bored they may make mistakes products may have to be rejected productivity may fall there may be a high turnover of workers this will increase the cost of hiring workers. workers may not be employed on tasks they are best at this will mean productivity will be below potential. if key workers are sick or leave it may be difficult to cover for their absence this can disrupt the production process. more specialised workers may demand higher wages increasing labour costs.,Because the people will increase and cost will also skyrocket,2
Analyse why engaging in division of labour may increase a firm’s costs of production.,division of labour involves workers specialising in particular tasks. workers may become bored they may make mistakes products may have to be rejected productivity may fall there may be a high turnover of workers this will increase the cost of hiring workers. workers may not be employed on tasks they are best at this will mean productivity will be below potential. if key workers are sick or leave it may be difficult to cover for their absence this can disrupt the production process. more specialised workers may demand higher wages increasing labour costs.,"Engaging in division of labour means that the firm has employees in different portion of the business, this means that more people will have to be employed to meet those different part. As this increase, the cost of production also increase in the organisation.",3
Analyse why engaging in division of labour may increase a firm’s costs of production.,division of labour involves workers specialising in particular tasks. workers may become bored they may make mistakes products may have to be rejected productivity may fall there may be a high turnover of workers this will increase the cost of hiring workers. workers may not be employed on tasks they are best at this will mean productivity will be below potential. if key workers are sick or leave it may be difficult to cover for their absence this can disrupt the production process. more specialised workers may demand higher wages increasing labour costs.,Because it is very expensive and costly for the business.,1
Analyse how economic growth conflicts with balance of payments stability.,Economic growth may benefit from higher spending whereas balance of payments stability does not. Less balance of payment stability because economic growth leads to higher income higher employment increases spending/consumption increase the demand for goods and services including imported goods reducing net exports increase trade deficit / reduce trade surplus. Economic growth could increase demand for imported raw materials imported capital goods. Economic growth could lead to demand-pull inflation wage rises increase price of exports reduce competitiveness of exports.,Because economic growth and balance of payment always move in opposite direction in the organisation.,1
Analyse how economic growth conflicts with balance of payments stability.,Economic growth may benefit from higher spending whereas balance of payments stability does not. Less balance of payment stability because economic growth leads to higher income higher employment increases spending/consumption increase the demand for goods and services including imported goods reducing net exports increase trade deficit / reduce trade surplus. Economic growth could increase demand for imported raw materials imported capital goods. Economic growth could lead to demand-pull inflation wage rises increase price of exports reduce competitiveness of exports.,There can be instability because it will widen the deficit gap that can occur in the balance of payment figure ,2
Analyse how economic growth conflicts with balance of payments stability.,Economic growth may benefit from higher spending whereas balance of payments stability does not. Less balance of payment stability because economic growth leads to higher income higher employment increases spending/consumption increase the demand for goods and services including imported goods reducing net exports increase trade deficit / reduce trade surplus. Economic growth could increase demand for imported raw materials imported capital goods. Economic growth could lead to demand-pull inflation wage rises increase price of exports reduce competitiveness of exports.,"Economic growth can conflict with balance of payment stability because as it occurs, people earn more income, increase their demand and are now better off and can increase imports of goods, as this occurs, exports fall and this widens the trade deficit gap thereby causing instability in balance of payment.",3
Analyse how higher government spending and tax cuts can lead to a fall in cyclical unemployment.,Higher spending on unemployment benefits / education / infrastructure / healthcare could lead to higher demand for goods and services increased demand for goods and services leads to higher revenues/profits for firms increased investments increasing output increased demand for workers to produce the output. Tax cuts such as income tax cuts increased disposable income increase consumer expenditure increased demand for goods and services higher revenues/profits for firms increased investments increasing output. Tax cuts such as corporation tax cuts increased after tax profits increased investments increasing output. Tax cuts such as indirect tax cuts,"When government increases spending and cut taxes, there is more money allocated to unemployment benefit, education, infrastructure and healthcare leading to increased demand from people. As demand increase, firms demand more labour and this reduces unemployment in the economy.",3
Analyse how higher government spending and tax cuts can lead to a fall in cyclical unemployment.,Higher spending on unemployment benefits / education / infrastructure / healthcare could lead to higher demand for goods and services increased demand for goods and services leads to higher revenues/profits for firms increased investments increasing output increased demand for workers to produce the output. Tax cuts such as income tax cuts increased disposable income increase consumer expenditure increased demand for goods and services higher revenues/profits for firms increased investments increasing output. Tax cuts such as corporation tax cuts increased after tax profits increased investments increasing output. Tax cuts such as indirect tax cuts,Firms will hire more people and this will help reduce the level of unemployment in the country. ,2
Analyse how higher government spending and tax cuts can lead to a fall in cyclical unemployment.,Higher spending on unemployment benefits / education / infrastructure / healthcare could lead to higher demand for goods and services increased demand for goods and services leads to higher revenues/profits for firms increased investments increasing output increased demand for workers to produce the output. Tax cuts such as income tax cuts increased disposable income increase consumer expenditure increased demand for goods and services higher revenues/profits for firms increased investments increasing output. Tax cuts such as corporation tax cuts increased after tax profits increased investments increasing output. Tax cuts such as indirect tax cuts,Government can always control the direction of the economy and unemployment will surely reduce.,1
Explain two causes of a shift of a product’s demand curve to the left.,Decrease in price / rise in quality of substitutes increased demand for substitutes. Increase in price of complements decrease demand for complements. Decrease in income decrease in purchasing power. Changing trends / tastes decrease popularity. Changing seasons changing demand. Decrease in population size fewer people to buy the product. Rise in the rate of interest less able to borrow to buy the product.,Increase in price of the complement good and also fall in income.,2
Explain two causes of a shift of a product’s demand curve to the left.,Decrease in price / rise in quality of substitutes increased demand for substitutes. Increase in price of complements decrease demand for complements. Decrease in income decrease in purchasing power. Changing trends / tastes decrease popularity. Changing seasons changing demand. Decrease in population size fewer people to buy the product. Rise in the rate of interest less able to borrow to buy the product.,When there is an increase in price of the good.,1
Explain two causes of a shift of a product’s demand curve to the left.,Decrease in price / rise in quality of substitutes increased demand for substitutes. Increase in price of complements decrease demand for complements. Decrease in income decrease in purchasing power. Changing trends / tastes decrease popularity. Changing seasons changing demand. Decrease in population size fewer people to buy the product. Rise in the rate of interest less able to borrow to buy the product.,Shift of demand curve is usually caused by other factors other than price of the goods. One of the major reason is when there is an increase in price of a complement goods that the good is used together with. Another cause of the shit to the left is decrease in income such that there is less money to buy those goods ,3
Define economic development.,When there is an increase in standards of living of the people of a country / quality of life / economic welfare. Increase in income per head / average income/GDP per head / education / healthcare / HDI. The process by which low-income economies become high-income economies. Movement from primary towards the secondary and tertiary sectors.,"Economic development is defined as an improvement in the GDP of a country as well as improvement in the social, political and other institutions in the country. It is wider than economic growth that focuses only on GDP.",3
Define economic development.,When there is an increase in standards of living of the people of a country / quality of life / economic welfare. Increase in income per head / average income/GDP per head / education / healthcare / HDI. The process by which low-income economies become high-income economies. Movement from primary towards the secondary and tertiary sectors.,It is improvement in all the institution of the economy other than GDP.,2
Define economic development.,When there is an increase in standards of living of the people of a country / quality of life / economic welfare. Increase in income per head / average income/GDP per head / education / healthcare / HDI. The process by which low-income economies become high-income economies. Movement from primary towards the secondary and tertiary sectors.,It is the development of a country economy in all ramification.,1
Explain two reasons why children in rural areas may receive less education than those in cities.,Low income cannot afford to go to school. Poor infrastructure cannot get to school / no schools. Have to work on the family farm no time to go to school. Parental attitude they do not see benefit of education. Low tax revenue in rural areas government spending on schools lower. Difficult to recruit teachers poor housing / long distance to travel low wages. Lack of schools difficult to get materials to build schools / may be insufficient children. Parents have not been educated don’t see the value in education.,Because city people are brilliant and interested than other people.,1
Explain two reasons why children in rural areas may receive less education than those in cities.,Low income cannot afford to go to school. Poor infrastructure cannot get to school / no schools. Have to work on the family farm no time to go to school. Parental attitude they do not see benefit of education. Low tax revenue in rural areas government spending on schools lower. Difficult to recruit teachers poor housing / long distance to travel low wages. Lack of schools difficult to get materials to build schools / may be insufficient children. Parents have not been educated don’t see the value in education.,"One of the major reasons is low income to put them through the right education compared to people in cities. Another reason is poor infrastructure available that might not enable them to get proper education like city kids. These infrastructures will include teachers, teaching materials etc.",3
Explain two reasons why children in rural areas may receive less education than those in cities.,Low income cannot afford to go to school. Poor infrastructure cannot get to school / no schools. Have to work on the family farm no time to go to school. Parental attitude they do not see benefit of education. Low tax revenue in rural areas government spending on schools lower. Difficult to recruit teachers poor housing / long distance to travel low wages. Lack of schools difficult to get materials to build schools / may be insufficient children. Parents have not been educated don’t see the value in education.,Because of low income available and poor methods of teaching available in both locations.,2
Analyse the advantages of selling a product which is price inelastic in demand.,"Price-inelastic demand means when price increases, quantity demanded falls by a less than proportionate amount or vice versa. When demand is price-inelastic, price and revenue move in the same direction. Price elasticity of demand of less than one may indicate lack of competition / substitutes necessities often have inelastic demand. Firms can increase prices total revenue increases may increase in profits if revenue rises faster than cost. Less market volatility stability of income/revenue making it easier to plan.",Because the product is not common and the firm will always make money.,1
Analyse the advantages of selling a product which is price inelastic in demand.,"Price-inelastic demand means when price increases, quantity demanded falls by a less than proportionate amount or vice versa. When demand is price-inelastic, price and revenue move in the same direction. Price elasticity of demand of less than one may indicate lack of competition / substitutes necessities often have inelastic demand. Firms can increase prices total revenue increases may increase in profits if revenue rises faster than cost. Less market volatility stability of income/revenue making it easier to plan.",Because competition does not exist and the firm can always improve revenue position in the product.,2
Analyse the advantages of selling a product which is price inelastic in demand.,"Price-inelastic demand means when price increases, quantity demanded falls by a less than proportionate amount or vice versa. When demand is price-inelastic, price and revenue move in the same direction. Price elasticity of demand of less than one may indicate lack of competition / substitutes necessities often have inelastic demand. Firms can increase prices total revenue increases may increase in profits if revenue rises faster than cost. Less market volatility stability of income/revenue making it easier to plan.","Price inelastic demand means demand changes very small with changes in price. In this situation, price and revenue move in the same direction. Selling this kind of product means the firm have advantage and substitute do not really exist for the product. The firm can increase profit from this product if revenue cover cost properly.",3
Analyse how a rise in the interest rate could cause a recession.,A higher interest rate would increase the cost of borrowing reduce borrowing reduce the spending power of people who have borrowed in the past increase saving consumer expenditure / spending may fall investment may fall / may discourage MNCs unemployment may increase / employment may fall total demand may fall the output of goods and services / GDP may fall if output falls over a period of two quarters / six months there will be a recession. A higher interest rate may encourage more people to buy the currency to put money into the country’s financial institutions raising the value of the foreign exchange rate raising the price of exports lowering demand for exports reducing the price of imports increasing demand for imports.,Higher interest rate will generally reduce total demand in the country and slow down the performance of the economy.,2
Analyse how a rise in the interest rate could cause a recession.,A higher interest rate would increase the cost of borrowing reduce borrowing reduce the spending power of people who have borrowed in the past increase saving consumer expenditure / spending may fall investment may fall / may discourage MNCs unemployment may increase / employment may fall total demand may fall the output of goods and services / GDP may fall if output falls over a period of two quarters / six months there will be a recession. A higher interest rate may encourage more people to buy the currency to put money into the country’s financial institutions raising the value of the foreign exchange rate raising the price of exports lowering demand for exports reducing the price of imports increasing demand for imports.,Higher interest rate is bad for the economy and makes everything go bad.,1
Analyse how a rise in the interest rate could cause a recession.,A higher interest rate would increase the cost of borrowing reduce borrowing reduce the spending power of people who have borrowed in the past increase saving consumer expenditure / spending may fall investment may fall / may discourage MNCs unemployment may increase / employment may fall total demand may fall the output of goods and services / GDP may fall if output falls over a period of two quarters / six months there will be a recession. A higher interest rate may encourage more people to buy the currency to put money into the country’s financial institutions raising the value of the foreign exchange rate raising the price of exports lowering demand for exports reducing the price of imports increasing demand for imports.,"A higher interest rate would increase the cost of borrowing reduce which reduce spending power as people have to save up more to pay for what they have borrowed before. In addition, people are not able to borrow to increase investment spending, this reduce demand for this and even increase unemployment in the country. This reduces total demand in the country leading to recession.",3
