,Question,Marking Scheme,Student Response,Answer Rating,ms_le,st_le,ms_n_words,st_n_words,word_Common,word_Total,word_share,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
235,Explain two factors that could cause an increase in foreign tourists to a country.,An increase in incomes abroad will increase foreigners ability to afford holidays in the country. A reduction in the countrys exchange rate making holidays in the country cheaper. A rise in the price of holidays in other countries/lower price in domestic market some people will switch to a substitute holiday/costs may be lower in the domestic market. An improvement in tourist attractions in the country. Special events occurring in the country.,when the exchange rate is low and ii. When they are attracted to the country.,2,449,77,71,15,5.0,56.0,0.08928571428571429,55,100,39,60,25
236,Explain two factors that could cause an increase in foreign tourists to a country.,An increase in incomes abroad will increase foreigners ability to afford holidays in the country. A reduction in the countrys exchange rate making holidays in the country cheaper. A rise in the price of holidays in other countries/lower price in domestic market some people will switch to a substitute holiday/costs may be lower in the domestic market. An improvement in tourist attractions in the country. Special events occurring in the country.,"Reduction in Exchange rate: When foreigners know that exchange rates are low, they are encouraged to take up holidays in the foreign country. Improvement and availability of tourist attractions to drive more people to want to visit the country",3,449,243,71,39,13.0,75.0,0.17333333333333334,38,100,42,67,6
237,Analyse why workers with the same skills may be paid different wage rates,"Some workers may have stronger bargaining power because they are in trade unions/ in stronger trade unions. Some workers may be more willing to accept lower paid jobs because they e.g. regard job security to be more important. The demand for workers may be different in different countries/areas/industries the demand for labour may be different in the different industries/countries. The supply of workers may be different in different countries/areas the wage rate will tend to be higher where supply is lower. Workers may be in the public or the private sector. In some countries, the public sector is better paid. Workers may have more experience may have more responsibility. A group of workers may be discriminated example of such a group. Some workers may not be aware similarly skilled workers are being paid more and so may remain in a lower paid job. Overtime may be paid at a higher rate.",Because some workers have power and control better than the others,1,899,66,151,11,8.0,84.0,0.09523809523809523,48,100,41,82,13
238,Analyse why workers with the same skills may be paid different wage rates,"Some workers may have stronger bargaining power because they are in trade unions/ in stronger trade unions. Some workers may be more willing to accept lower paid jobs because they e.g. regard job security to be more important. The demand for workers may be different in different countries/areas/industries the demand for labour may be different in the different industries/countries. The supply of workers may be different in different countries/areas the wage rate will tend to be higher where supply is lower. Workers may be in the public or the private sector. In some countries, the public sector is better paid. Workers may have more experience may have more responsibility. A group of workers may be discriminated example of such a group. Some workers may not be aware similarly skilled workers are being paid more and so may remain in a lower paid job. Overtime may be paid at a higher rate.","Workers can possibly get different wage rate due to different bargaining power they can have compared to others with the same skillset. In addition, demand for labour due to differences in region can also be a good factor accounting for this.",3,899,242,151,41,16.0,106.0,0.1509433962264151,11,100,13,60,2
239,Analyse why workers with the same skills may be paid different wage rates,"Some workers may have stronger bargaining power because they are in trade unions/ in stronger trade unions. Some workers may be more willing to accept lower paid jobs because they e.g. regard job security to be more important. The demand for workers may be different in different countries/areas/industries the demand for labour may be different in the different industries/countries. The supply of workers may be different in different countries/areas the wage rate will tend to be higher where supply is lower. Workers may be in the public or the private sector. In some countries, the public sector is better paid. Workers may have more experience may have more responsibility. A group of workers may be discriminated example of such a group. Some workers may not be aware similarly skilled workers are being paid more and so may remain in a lower paid job. Overtime may be paid at a higher rate.",This is generally due to how they can determine their wage and due to demand.,2,899,77,151,15,5.0,86.0,0.05813953488372093,16,100,33,55,12
240,Explain the importance of price elasticity of demand for a government.,"Knowledge of price elasticity of demand would help a government estimate how much tax revenue it may earn from indirect taxes/changes in indirect taxes may earn more on products with inelastic demand. Knowledge of price elasticity of demand may help a government to estimate how much of a subsidy to give a subsidy will have more of an impact on quantity if demand is elastic. Knowledge of price of elasticity will help a government estimate how successful it may be in reducing consumption of a product example, e.g. cigarettes more likely to be successful if demand is elastic. Knowledge of Price elasticity of demand may influence the price the government charges for the products it supplies.",Knowledge of price elasticity usually help government to formulate policies right. It helps government to decide on if it should still continue granting subsidies on a product or not. These decisions usually focus on how these policy changes can affect consumer pattern of demand generally ,3,696,290,116,46,14.0,91.0,0.15384615384615385,20,100,6,52,1
241,Explain the importance of price elasticity of demand for a government.,"Knowledge of price elasticity of demand would help a government estimate how much tax revenue it may earn from indirect taxes/changes in indirect taxes may earn more on products with inelastic demand. Knowledge of price elasticity of demand may help a government to estimate how much of a subsidy to give a subsidy will have more of an impact on quantity if demand is elastic. Knowledge of price of elasticity will help a government estimate how successful it may be in reducing consumption of a product example, e.g. cigarettes more likely to be successful if demand is elastic. Knowledge of Price elasticity of demand may influence the price the government charges for the products it supplies.",It makes government know if demand is elastic or inelastic at different point in time,1,696,85,116,15,7.0,68.0,0.10294117647058823,49,100,45,71,18
242,Explain the importance of price elasticity of demand for a government.,"Knowledge of price elasticity of demand would help a government estimate how much tax revenue it may earn from indirect taxes/changes in indirect taxes may earn more on products with inelastic demand. Knowledge of price elasticity of demand may help a government to estimate how much of a subsidy to give a subsidy will have more of an impact on quantity if demand is elastic. Knowledge of price of elasticity will help a government estimate how successful it may be in reducing consumption of a product example, e.g. cigarettes more likely to be successful if demand is elastic. Knowledge of Price elasticity of demand may influence the price the government charges for the products it supplies.",It helps the government to decide appropriate policy to implement at the right time.,2,696,84,116,14,4.0,65.0,0.06153846153846154,43,100,43,42,16
243,Explain the difference between average fixed cost and average variable cost.,Average fixed cost is total fixed cost divided by output/fixed cost per unit costs that fall with output. Average variable cost is total variable cost divided by output/variable cost per unit costs that may fall or rise with output.,Average fixed cost refers to cost of production that doesnt change with output divided by total output produced during the production process while average variable cost compares total cost that vary with levels of output with total output during the production process. Average fixed cost is Fixed cost/quantity while average variable cost is Variable cost/quantity.,3,232,368,39,55,10.0,48.0,0.20833333333333334,47,100,33,80,7
244,Explain the difference between average fixed cost and average variable cost.,Average fixed cost is total fixed cost divided by output/fixed cost per unit costs that fall with output. Average variable cost is total variable cost divided by output/variable cost per unit costs that may fall or rise with output.,Average fixed cost measures fixed cost divided by output while average variable cost is variable cost divided by output.,2,232,120,39,19,8.0,31.0,0.25806451612903225,55,100,65,86,64
245,Explain the difference between average fixed cost and average variable cost.,Average fixed cost is total fixed cost divided by output/fixed cost per unit costs that fall with output. Average variable cost is total variable cost divided by output/variable cost per unit costs that may fall or rise with output.,Average fixed cost is fixed while average variable cost is variable.,1,232,68,39,11,5.0,27.0,0.18518518518518517,59,100,49,91,43
246,Analyse the advantages that a country may gain from specialising in a product such as smartphones.,Output/GDP/GDP per head may be higher resulting in higher living standards as a country can concentrate on what it is best at producing make best use of resources. Providing a product in a large quantity may lower average cost/ enable advantage to be taken of economies of scale. World demand for smartphones is high/increasing smartphones are increasing in popularity/becoming more of a necessity. May gain a good reputation for producing the product which will increase demand. Specialising encourages countries to trade providing consumers with more variety/cheaper products.,The country becomes too powerful compared to other countries and the goods become the best,1,578,90,87,15,5.0,78.0,0.0641025641025641,36,100,49,52,22
247,Analyse the advantages that a country may gain from specialising in a product such as smartphones.,Output/GDP/GDP per head may be higher resulting in higher living standards as a country can concentrate on what it is best at producing make best use of resources. Providing a product in a large quantity may lower average cost/ enable advantage to be taken of economies of scale. World demand for smartphones is high/increasing smartphones are increasing in popularity/becoming more of a necessity. May gain a good reputation for producing the product which will increase demand. Specialising encourages countries to trade providing consumers with more variety/cheaper products.,It reduce cost and output can increase too,2,578,42,87,8,3.0,73.0,0.0410958904109589,19,100,33,78,13
248,Analyse the advantages that a country may gain from specialising in a product such as smartphones.,Output/GDP/GDP per head may be higher resulting in higher living standards as a country can concentrate on what it is best at producing make best use of resources. Providing a product in a large quantity may lower average cost/ enable advantage to be taken of economies of scale. World demand for smartphones is high/increasing smartphones are increasing in popularity/becoming more of a necessity. May gain a good reputation for producing the product which will increase demand. Specialising encourages countries to trade providing consumers with more variety/cheaper products.,"Due to specializing in certain products, the country is able to increase output which then improves standard of living in the country. In addition, the country is able to reduce costs in the long run as it focuses and produce in large scale. ",3,578,242,87,44,13.0,97.0,0.13402061855670103,43,100,5,60,1
249,Analyse how a central bank might reduce household borrowing.,It might increase the rate of interest this would increase the cost of borrowing this may discourage households from buying items/encourage saving that would require them to take out a loan. It might impose restrictions on the amount that banks can lend these may limit the size of a loan a household can get or increase the conditions that have to be met before a loan is given. It might reduce the money supply which may reduce spending and so may reduce demand for loans.,"Central bank can reduce the household borrowing via the interest rate channel. When interest rates are increased, the cost of borrowing increases and this may discourage them from taking loans or borrowings.",3,474,207,85,32,16.0,85.0,0.18823529411764706,33,100,15,72,2
250,Analyse how a central bank might reduce household borrowing.,It might increase the rate of interest this would increase the cost of borrowing this may discourage households from buying items/encourage saving that would require them to take out a loan. It might impose restrictions on the amount that banks can lend these may limit the size of a loan a household can get or increase the conditions that have to be met before a loan is given. It might reduce the money supply which may reduce spending and so may reduce demand for loans.,They can reduce borrowing by preventing people from borrowing money from the bank.,1,474,82,85,13,6.0,68.0,0.08823529411764706,46,100,43,69,21
251,Analyse how a central bank might reduce household borrowing.,It might increase the rate of interest this would increase the cost of borrowing this may discourage households from buying items/encourage saving that would require them to take out a loan. It might impose restrictions on the amount that banks can lend these may limit the size of a loan a household can get or increase the conditions that have to be met before a loan is given. It might reduce the money supply which may reduce spending and so may reduce demand for loans.,Central banks can reduce the household borrowing through interest rate.,2,474,71,85,10,7.0,67.0,0.1044776119402985,38,100,49,87,24
252,Explain two benefits that a firm may gain from producing in another country,Avoid trade restrictions e.g. will not have to pay tariffs imposed on products. Lower transport costs enabling the firm to sell at a lower price. Access to cheaper/more skilled labour lowering costs of production/ improve the quality of the products produced. Access to cheaper/better quality raw materials lowering costs of production/improve the quality of the products produced. Closer contact with foreign consumers enabling the firm to pick up more quickly on changes in demand. Possible government subsidies to set up in areas of high unemployment. Lower taxes which may increase profits.,It increase demand and there is more people to work for them.,2,594,61,91,12,3.0,74.0,0.04054054054054054,28,100,40,55,16
253,Explain two benefits that a firm may gain from producing in another country,Avoid trade restrictions e.g. will not have to pay tariffs imposed on products. Lower transport costs enabling the firm to sell at a lower price. Access to cheaper/more skilled labour lowering costs of production/ improve the quality of the products produced. Access to cheaper/better quality raw materials lowering costs of production/improve the quality of the products produced. Closer contact with foreign consumers enabling the firm to pick up more quickly on changes in demand. Possible government subsidies to set up in areas of high unemployment. Lower taxes which may increase profits.,It makes the firm popular and they also have more money that way.,1,594,65,91,13,4.0,75.0,0.05333333333333334,23,100,30,44,15
254,Explain two benefits that a firm may gain from producing in another country,Avoid trade restrictions e.g. will not have to pay tariffs imposed on products. Lower transport costs enabling the firm to sell at a lower price. Access to cheaper/more skilled labour lowering costs of production/ improve the quality of the products produced. Access to cheaper/better quality raw materials lowering costs of production/improve the quality of the products produced. Closer contact with foreign consumers enabling the firm to pick up more quickly on changes in demand. Possible government subsidies to set up in areas of high unemployment. Lower taxes which may increase profits.,One of the benefits of this is that it prevents trade restrictions and countries can readily benefit from the advantages this arrangement brings. It helps to also increase the revenue potential as the firm is exposed to more market and demand from the foreign country.,3,594,268,91,45,9.0,96.0,0.09375,4,100,36,43,3
255,Explain why fixed costs are high in the aircraft-making industry,Fixed costs are costs that do not change with output. There is a considerable value of capital equipment used in making aircraft/it is a capital intensive industry loans may have to be taken out to pay for capital equipment interest on loans have to be paid even if no output is made the equipment may have to be rented rent has to be paid even if no output is made. Aircraft making factories have to be very large high rental costs high business rates.,"Fixed costs are those costs in production that do not change with level of output. Due to the capital-intensive nature of the aircraft business, money is spent on these equipment and tools and they are usually fixed in nature, regardless of customers, the airline still makes use of the same plane regardless.",3,453,309,84,52,17.0,94.0,0.18085106382978725,17,100,10,63,14
256,Explain why fixed costs are high in the aircraft-making industry,Fixed costs are costs that do not change with output. There is a considerable value of capital equipment used in making aircraft/it is a capital intensive industry loans may have to be taken out to pay for capital equipment interest on loans have to be paid even if no output is made the equipment may have to be rented rent has to be paid even if no output is made. Aircraft making factories have to be very large high rental costs high business rates.,Because it is a big industry and will always run regardless.,1,453,60,84,11,3.0,64.0,0.046875,42,100,32,43,15
257,Explain why fixed costs are high in the aircraft-making industry,Fixed costs are costs that do not change with output. There is a considerable value of capital equipment used in making aircraft/it is a capital intensive industry loans may have to be taken out to pay for capital equipment interest on loans have to be paid even if no output is made the equipment may have to be rented rent has to be paid even if no output is made. Aircraft making factories have to be very large high rental costs high business rates.,Because they need a lot of capital equipment for them to run.,2,453,61,84,12,6.0,65.0,0.09230769230769231,49,100,40,65,20
258,Analyse what determines a firms demand for capital goods.,"The expected demand for the product produced (1) the higher the output, the more capital goods needed. Advances in technology new capital equipment is likely to be more productive. The price of the capital equipment the cheaper the price, the more capital equipment that is likely to be bought. The rate of interest firms often borrow to buy capital equipment. The level of profits higher profits increase firms willingness and ability to buy capital goods. Corporation taxes lower taxes will increase firms willingness and ability to buy capital goods. Government subsidies these provide funds for firms to buy capital goods.","Different factors usually affect a firms demand for capital goods, when there is an expected increase in demand for the product, capital goods is demanded to help meet the need for the output to be made or sold. Another important factor that can affect demand is the improvement in technology which requires the use of more machine compared to labour.",3,628,351,100,60,16.0,98.0,0.16326530612244897,13,100,12,55,11
259,Analyse what determines a firms demand for capital goods.,"The expected demand for the product produced (1) the higher the output, the more capital goods needed. Advances in technology new capital equipment is likely to be more productive. The price of the capital equipment the cheaper the price, the more capital equipment that is likely to be bought. The rate of interest firms often borrow to buy capital equipment. The level of profits higher profits increase firms willingness and ability to buy capital goods. Corporation taxes lower taxes will increase firms willingness and ability to buy capital goods. Government subsidies these provide funds for firms to buy capital goods.",Due to urgent need by the company and due to love for capital good in the company or firm.,1,628,90,100,19,6.0,68.0,0.08823529411764706,42,100,24,53,21
260,Analyse what determines a firms demand for capital goods.,"The expected demand for the product produced (1) the higher the output, the more capital goods needed. Advances in technology new capital equipment is likely to be more productive. The price of the capital equipment the cheaper the price, the more capital equipment that is likely to be bought. The rate of interest firms often borrow to buy capital equipment. The level of profits higher profits increase firms willingness and ability to buy capital goods. Corporation taxes lower taxes will increase firms willingness and ability to buy capital goods. Government subsidies these provide funds for firms to buy capital goods.",When there is demand for the product and when technology is needed,2,628,66,100,12,7.0,63.0,0.1111111111111111,36,100,33,90,18
261,Analyse how a fall in unemployment can increase tax revenue,A fall in unemployment will increase income more people working and people earning higher wages this will increase income tax revenue. Spending will increase more products will be purchased which will increase indirect taxes. Higher spending will increase firms revenue this may increase firms profits which will increase corporation/direct tax revenue.,Government can now make lot of money because everyone is now very rich and have money.,1,355,86,51,16,1.0,44.0,0.022727272727272728,37,100,34,25,17
262,Analyse how a fall in unemployment can increase tax revenue,A fall in unemployment will increase income more people working and people earning higher wages this will increase income tax revenue. Spending will increase more products will be purchased which will increase indirect taxes. Higher spending will increase firms revenue this may increase firms profits which will increase corporation/direct tax revenue.,It increases the income tax and will also improve indirect tax that will be charged.,2,355,84,51,15,6.0,42.0,0.14285714285714285,57,100,48,59,33
263,Analyse how a fall in unemployment can increase tax revenue,A fall in unemployment will increase income more people working and people earning higher wages this will increase income tax revenue. Spending will increase more products will be purchased which will increase indirect taxes. Higher spending will increase firms revenue this may increase firms profits which will increase corporation/direct tax revenue.,"When there are less unemployed people, it means they are involved in a job that provides means of income to them, government can therefore charge and increase income taxes which improves tax revenue for the government. In addition, people can now increase their purchasing power which helps to increase indirect tax potential.",3,355,326,51,52,10.0,71.0,0.14084507042253522,23,100,36,50,6
264,Explain two reasons why the supply of a product may be price inelastic.,long production period this will make it difficult to adjust supply quickly. Inability to store the product this means goods cannot be taken out of storage to meet higher demand. Time period under consideration supply is more inelastic in the short run. If there is a shortage of the raw material it will be difficult to supply more in response to a rise in demand/price.,"Supply of a product may be price inelastic due to the long time frame it can take for a product to be made, longer period will make it difficult for supply to adjust quickly. Also, the storage condition of a product can also affect and hinder the level of elasticity.",3,371,267,65,50,18.0,80.0,0.225,44,100,13,71,9
265,Explain two reasons why the supply of a product may be price inelastic.,long production period this will make it difficult to adjust supply quickly. Inability to store the product this means goods cannot be taken out of storage to meet higher demand. Time period under consideration supply is more inelastic in the short run. If there is a shortage of the raw material it will be difficult to supply more in response to a rise in demand/price.,When the time and when the goods cannot be stored well.,2,371,55,65,11,5.0,54.0,0.09259259259259259,38,100,41,70,20
266,Explain two reasons why the supply of a product may be price inelastic.,long production period this will make it difficult to adjust supply quickly. Inability to store the product this means goods cannot be taken out of storage to meet higher demand. Time period under consideration supply is more inelastic in the short run. If there is a shortage of the raw material it will be difficult to supply more in response to a rise in demand/price.,Because the good is kind of special and it is needed by people.,1,371,63,65,13,4.0,57.0,0.07017543859649122,37,100,35,34,16
267,Analyse why engaging in division of labour may increase a firms costs of production.,division of labour involves workers specialising in particular tasks. workers may become bored they may make mistakes products may have to be rejected productivity may fall there may be a high turnover of workers this will increase the cost of hiring workers. workers may not be employed on tasks they are best at this will mean productivity will be below potential. if key workers are sick or leave it may be difficult to cover for their absence this can disrupt the production process. more specialised workers may demand higher wages increasing labour costs.,Because the people will increase and cost will also skyrocket,2,561,61,93,10,4.0,74.0,0.05405405405405406,38,100,30,56,16
268,Analyse why engaging in division of labour may increase a firms costs of production.,division of labour involves workers specialising in particular tasks. workers may become bored they may make mistakes products may have to be rejected productivity may fall there may be a high turnover of workers this will increase the cost of hiring workers. workers may not be employed on tasks they are best at this will mean productivity will be below potential. if key workers are sick or leave it may be difficult to cover for their absence this can disrupt the production process. more specialised workers may demand higher wages increasing labour costs.,"Engaging in division of labour means that the firm has employees in different portion of the business, this means that more people will have to be employed to meet those different part. As this increase, the cost of production also increase in the organisation.",3,561,261,93,44,15.0,97.0,0.15463917525773196,5,100,4,61,1
269,Analyse why engaging in division of labour may increase a firms costs of production.,division of labour involves workers specialising in particular tasks. workers may become bored they may make mistakes products may have to be rejected productivity may fall there may be a high turnover of workers this will increase the cost of hiring workers. workers may not be employed on tasks they are best at this will mean productivity will be below potential. if key workers are sick or leave it may be difficult to cover for their absence this can disrupt the production process. more specialised workers may demand higher wages increasing labour costs.,Because it is very expensive and costly for the business.,1,561,57,93,10,3.0,75.0,0.04,28,100,23,30,12
270,Analyse how economic growth conflicts with balance of payments stability.,Economic growth may benefit from higher spending whereas balance of payments stability does not. Less balance of payment stability because economic growth leads to higher income higher employment increases spending/consumption increase the demand for goods and services including imported goods reducing net exports increase trade deficit / reduce trade surplus. Economic growth could increase demand for imported raw materials imported capital goods. Economic growth could lead to demand-pull inflation wage rises increase price of exports reduce competitiveness of exports.,Because economic growth and balance of payment always move in opposite direction in the organisation.,1,575,101,79,15,8.0,67.0,0.11940298507462686,49,100,39,68,22
271,Analyse how economic growth conflicts with balance of payments stability.,Economic growth may benefit from higher spending whereas balance of payments stability does not. Less balance of payment stability because economic growth leads to higher income higher employment increases spending/consumption increase the demand for goods and services including imported goods reducing net exports increase trade deficit / reduce trade surplus. Economic growth could increase demand for imported raw materials imported capital goods. Economic growth could lead to demand-pull inflation wage rises increase price of exports reduce competitiveness of exports.,There can be instability because it will widen the deficit gap that can occur in the balance of payment figure ,2,575,111,79,21,6.0,72.0,0.08333333333333333,42,100,43,54,21
272,Analyse how economic growth conflicts with balance of payments stability.,Economic growth may benefit from higher spending whereas balance of payments stability does not. Less balance of payment stability because economic growth leads to higher income higher employment increases spending/consumption increase the demand for goods and services including imported goods reducing net exports increase trade deficit / reduce trade surplus. Economic growth could increase demand for imported raw materials imported capital goods. Economic growth could lead to demand-pull inflation wage rises increase price of exports reduce competitiveness of exports.,"Economic growth can conflict with balance of payment stability because as it occurs, people earn more income, increase their demand and are now better off and can increase imports of goods, as this occurs, exports fall and this widens the trade deficit gap thereby causing instability in balance of payment.",3,575,307,79,50,14.0,93.0,0.15053763440860216,19,100,19,63,8
273,Analyse how higher government spending and tax cuts can lead to a fall in cyclical unemployment.,Higher spending on unemployment benefits / education / infrastructure / healthcare could lead to higher demand for goods and services increased demand for goods and services leads to higher revenues/profits for firms increased investments increasing output increased demand for workers to produce the output. Tax cuts such as income tax cuts increased disposable income increase consumer expenditure increased demand for goods and services higher revenues/profits for firms increased investments increasing output. Tax cuts such as corporation tax cuts increased after tax profits increased investments increasing output. Tax cuts such as indirect tax cuts,"When government increases spending and cut taxes, there is more money allocated to unemployment benefit, education, infrastructure and healthcare leading to increased demand from people. As demand increase, firms demand more labour and this reduces unemployment in the economy.",3,656,277,93,39,11.0,73.0,0.1506849315068493,5,100,25,62,7
274,Analyse how higher government spending and tax cuts can lead to a fall in cyclical unemployment.,Higher spending on unemployment benefits / education / infrastructure / healthcare could lead to higher demand for goods and services increased demand for goods and services leads to higher revenues/profits for firms increased investments increasing output increased demand for workers to produce the output. Tax cuts such as income tax cuts increased disposable income increase consumer expenditure increased demand for goods and services higher revenues/profits for firms increased investments increasing output. Tax cuts such as corporation tax cuts increased after tax profits increased investments increasing output. Tax cuts such as indirect tax cuts,Firms will hire more people and this will help reduce the level of unemployment in the country. ,2,656,96,93,18,4.0,57.0,0.07017543859649122,30,100,32,47,17
275,Analyse how higher government spending and tax cuts can lead to a fall in cyclical unemployment.,Higher spending on unemployment benefits / education / infrastructure / healthcare could lead to higher demand for goods and services increased demand for goods and services leads to higher revenues/profits for firms increased investments increasing output increased demand for workers to produce the output. Tax cuts such as income tax cuts increased disposable income increase consumer expenditure increased demand for goods and services higher revenues/profits for firms increased investments increasing output. Tax cuts such as corporation tax cuts increased after tax profits increased investments increasing output. Tax cuts such as indirect tax cuts,Government can always control the direction of the economy and unemployment will surely reduce.,1,656,95,93,14,3.0,54.0,0.05555555555555555,32,100,32,36,19
276,Explain two causes of a shift of a products demand curve to the left.,Decrease in price / rise in quality of substitutes increased demand for substitutes. Increase in price of complements decrease demand for complements. Decrease in income decrease in purchasing power. Changing trends / tastes decrease popularity. Changing seasons changing demand. Decrease in population size fewer people to buy the product. Rise in the rate of interest less able to borrow to buy the product.,Increase in price of the complement good and also fall in income.,2,409,65,63,12,5.0,48.0,0.10416666666666667,55,100,34,67,24
277,Explain two causes of a shift of a products demand curve to the left.,Decrease in price / rise in quality of substitutes increased demand for substitutes. Increase in price of complements decrease demand for complements. Decrease in income decrease in purchasing power. Changing trends / tastes decrease popularity. Changing seasons changing demand. Decrease in population size fewer people to buy the product. Rise in the rate of interest less able to borrow to buy the product.,When there is an increase in price of the good.,1,409,47,63,10,5.0,47.0,0.10638297872340426,49,100,39,69,18
278,Explain two causes of a shift of a products demand curve to the left.,Decrease in price / rise in quality of substitutes increased demand for substitutes. Increase in price of complements decrease demand for complements. Decrease in income decrease in purchasing power. Changing trends / tastes decrease popularity. Changing seasons changing demand. Decrease in population size fewer people to buy the product. Rise in the rate of interest less able to borrow to buy the product.,Shift of demand curve is usually caused by other factors other than price of the goods. One of the major reason is when there is an increase in price of a complement goods that the good is used together with. Another cause of the shit to the left is decrease in income such that there is less money to buy those goods ,3,409,318,63,63,11.0,80.0,0.1375,4,100,3,41,2
279,Define economic development.,When there is an increase in standards of living of the people of a country / quality of life / economic welfare. Increase in income per head / average income/GDP per head / education / healthcare / HDI. The process by which low-income economies become high-income economies. Movement from primary towards the secondary and tertiary sectors.,"Economic development is defined as an improvement in the GDP of a country as well as improvement in the social, political and other institutions in the country. It is wider than economic growth that focuses only on GDP.",3,341,219,56,38,9.0,71.0,0.1267605633802817,33,100,35,48,6
280,Define economic development.,When there is an increase in standards of living of the people of a country / quality of life / economic welfare. Increase in income per head / average income/GDP per head / education / healthcare / HDI. The process by which low-income economies become high-income economies. Movement from primary towards the secondary and tertiary sectors.,It is improvement in all the institution of the economy other than GDP.,2,341,71,56,13,4.0,54.0,0.07407407407407407,42,100,31,39,22
281,Define economic development.,When there is an increase in standards of living of the people of a country / quality of life / economic welfare. Increase in income per head / average income/GDP per head / education / healthcare / HDI. The process by which low-income economies become high-income economies. Movement from primary towards the secondary and tertiary sectors.,It is the development of a country economy in all ramification.,1,341,63,56,11,6.0,53.0,0.11320754716981132,35,100,53,52,20
282,Explain two reasons why children in rural areas may receive less education than those in cities.,Low income cannot afford to go to school. Poor infrastructure cannot get to school / no schools. Have to work on the family farm no time to go to school. Parental attitude they do not see benefit of education. Low tax revenue in rural areas government spending on schools lower. Difficult to recruit teachers poor housing / long distance to travel low wages. Lack of schools difficult to get materials to build schools / may be insufficient children. Parents have not been educated dont see the value in education.,Because city people are brilliant and interested than other people.,1,515,67,89,10,0.0,69.0,0.0,31,32,29,18,15
283,Explain two reasons why children in rural areas may receive less education than those in cities.,Low income cannot afford to go to school. Poor infrastructure cannot get to school / no schools. Have to work on the family farm no time to go to school. Parental attitude they do not see benefit of education. Low tax revenue in rural areas government spending on schools lower. Difficult to recruit teachers poor housing / long distance to travel low wages. Lack of schools difficult to get materials to build schools / may be insufficient children. Parents have not been educated dont see the value in education.,"One of the major reasons is low income to put them through the right education compared to people in cities. Another reason is poor infrastructure available that might not enable them to get proper education like city kids. These infrastructures will include teachers, teaching materials etc.",3,515,292,89,46,11.0,99.0,0.1111111111111111,3,100,25,47,1
284,Explain two reasons why children in rural areas may receive less education than those in cities.,Low income cannot afford to go to school. Poor infrastructure cannot get to school / no schools. Have to work on the family farm no time to go to school. Parental attitude they do not see benefit of education. Low tax revenue in rural areas government spending on schools lower. Difficult to recruit teachers poor housing / long distance to travel low wages. Lack of schools difficult to get materials to build schools / may be insufficient children. Parents have not been educated dont see the value in education.,Because of low income available and poor methods of teaching available in both locations.,2,515,89,89,14,5.0,71.0,0.07042253521126761,31,100,38,44,19
285,Analyse the advantages of selling a product which is price inelastic in demand.,"Price-inelastic demand means when price increases, quantity demanded falls by a less than proportionate amount or vice versa. When demand is price-inelastic, price and revenue move in the same direction. Price elasticity of demand of less than one may indicate lack of competition / substitutes necessities often have inelastic demand. Firms can increase prices total revenue increases may increase in profits if revenue rises faster than cost. Less market volatility stability of income/revenue making it easier to plan.",Because the product is not common and the firm will always make money.,1,521,70,78,13,3.0,73.0,0.0410958904109589,30,100,41,27,18
286,Analyse the advantages of selling a product which is price inelastic in demand.,"Price-inelastic demand means when price increases, quantity demanded falls by a less than proportionate amount or vice versa. When demand is price-inelastic, price and revenue move in the same direction. Price elasticity of demand of less than one may indicate lack of competition / substitutes necessities often have inelastic demand. Firms can increase prices total revenue increases may increase in profits if revenue rises faster than cost. Less market volatility stability of income/revenue making it easier to plan.",Because competition does not exist and the firm can always improve revenue position in the product.,2,521,99,78,16,6.0,76.0,0.07894736842105263,34,100,40,53,19
287,Analyse the advantages of selling a product which is price inelastic in demand.,"Price-inelastic demand means when price increases, quantity demanded falls by a less than proportionate amount or vice versa. When demand is price-inelastic, price and revenue move in the same direction. Price elasticity of demand of less than one may indicate lack of competition / substitutes necessities often have inelastic demand. Firms can increase prices total revenue increases may increase in profits if revenue rises faster than cost. Less market volatility stability of income/revenue making it easier to plan.","Price inelastic demand means demand changes very small with changes in price. In this situation, price and revenue move in the same direction. Selling this kind of product means the firm have advantage and substitute do not really exist for the product. The firm can increase profit from this product if revenue cover cost properly.",3,521,332,78,55,16.0,101.0,0.15841584158415842,21,100,5,58,1
288,Analyse how a rise in the interest rate could cause a recession.,A higher interest rate would increase the cost of borrowing reduce borrowing reduce the spending power of people who have borrowed in the past increase saving consumer expenditure / spending may fall investment may fall / may discourage MNCs unemployment may increase / employment may fall total demand may fall the output of goods and services / GDP may fall if output falls over a period of two quarters / six months there will be a recession. A higher interest rate may encourage more people to buy the currency to put money into the countrys financial institutions raising the value of the foreign exchange rate raising the price of exports lowering demand for exports reducing the price of imports increasing demand for imports.,Higher interest rate will generally reduce total demand in the country and slow down the performance of the economy.,2,734,116,123,19,11.0,89.0,0.12359550561797752,35,100,27,71,23
